Source,Target,Type
0,1,undirected
1,0,undirected
1,2,undirected
1,3,undirected
2,4,undirected
2,5,undirected
2,6,undirected
2,7,undirected
2,8,undirected
3,9,undirected
3,10,undirected
4,11,undirected
4,12,undirected
4,13,undirected
5,14,undirected
6,15,undirected
7,16,undirected
7,17,undirected
8,18,undirected
8,7,undirected
8,19,undirected
8,20,undirected
10,21,undirected
10,22,undirected
10,23,undirected
10,24,undirected
10,25,undirected
10,26,undirected
10,27,undirected
10,28,undirected
10,29,undirected
10,30,undirected
10,31,undirected
11,32,undirected
11,33,undirected
11,34,undirected
11,35,undirected
11,36,undirected
11,37,undirected
11,38,undirected
11,39,undirected
12,40,undirected
12,41,undirected
13,42,undirected
15,43,undirected
15,44,undirected
15,45,undirected
15,46,undirected
16,47,undirected
16,48,undirected
17,49,undirected
17,50,undirected
17,51,undirected
17,52,undirected
18,53,undirected
18,51,undirected
18,54,undirected
18,55,undirected
18,56,undirected
18,57,undirected
19,58,undirected
19,59,undirected
19,60,undirected
20,20,undirected
21,10,undirected
22,10,undirected
24,61,undirected
24,62,undirected
25,10,undirected
25,63,undirected
25,64,undirected
26,26,undirected
27,65,undirected
29,66,undirected
29,67,undirected
30,68,undirected
31,30,undirected
31,10,undirected
32,6,undirected
32,11,undirected
32,69,undirected
32,70,undirected
32,71,undirected
32,72,undirected
33,11,undirected
33,33,undirected
33,73,undirected
33,74,undirected
34,75,undirected
34,76,undirected
34,11,undirected
35,11,undirected
35,77,undirected
36,11,undirected
36,51,undirected
37,38,undirected
37,78,undirected
37,79,undirected
37,80,undirected
37,37,undirected
37,81,undirected
38,38,undirected
38,11,undirected
39,11,undirected
39,82,undirected
39,83,undirected
39,84,undirected
40,85,undirected
40,12,undirected
41,86,undirected
42,13,undirected
42,87,undirected
42,88,undirected
43,89,undirected
43,90,undirected
43,91,undirected
43,92,undirected
43,93,undirected
43,94,undirected
45,95,undirected
48,7,undirected
48,96,undirected
48,97,undirected
48,51,undirected
48,98,undirected
48,99,undirected
48,17,undirected
48,100,undirected
48,48,undirected
48,101,undirected
50,50,undirected
53,53,undirected
55,102,undirected
55,103,undirected
55,14,undirected
55,104,undirected
56,54,undirected
57,105,undirected
57,54,undirected
57,51,undirected
57,106,undirected
57,107,undirected
57,108,undirected
58,109,undirected
58,58,undirected
58,110,undirected
59,111,undirected
59,112,undirected
60,113,undirected
60,114,undirected
60,98,undirected
60,115,undirected
60,60,undirected
60,116,undirected
60,4,undirected
60,117,undirected
60,118,undirected
63,119,undirected
63,120,undirected
63,121,undirected
63,122,undirected
66,123,undirected
66,124,undirected
66,125,undirected
66,126,undirected
67,29,undirected
70,127,undirected
70,128,undirected
71,129,undirected
71,130,undirected
71,131,undirected
71,132,undirected
73,11,undirected
73,73,undirected
74,133,undirected
74,134,undirected
74,135,undirected
75,136,undirected
75,137,undirected
80,138,undirected
82,139,undirected
83,39,undirected
83,82,undirected
89,140,undirected
89,141,undirected
92,92,undirected
92,142,undirected
93,143,undirected
93,92,undirected
93,144,undirected
94,145,undirected
94,43,undirected
95,146,undirected
96,147,undirected
98,148,undirected
98,149,undirected
98,98,undirected
98,150,undirected
98,151,undirected
98,152,undirected
98,11,undirected
98,153,undirected
98,154,undirected
98,155,undirected
99,156,undirected
99,157,undirected
99,54,undirected
99,98,undirected
99,114,undirected
99,99,undirected
99,158,undirected
100,159,undirected
100,160,undirected
100,161,undirected
101,158,undirected
101,19,undirected
101,7,undirected
101,162,undirected
101,99,undirected
102,163,undirected
103,55,undirected
103,164,undirected
104,55,undirected
104,165,undirected
104,166,undirected
105,167,undirected
105,168,undirected
105,169,undirected
105,170,undirected
105,171,undirected
105,11,undirected
105,105,undirected
106,172,undirected
106,173,undirected
106,106,undirected
106,174,undirected
107,175,undirected
107,176,undirected
107,177,undirected
107,178,undirected
111,113,undirected
111,59,undirected
111,179,undirected
112,180,undirected
113,113,undirected
114,114,undirected
114,181,undirected
114,182,undirected
114,183,undirected
115,184,undirected
116,168,undirected
116,116,undirected
117,185,undirected
117,186,undirected
117,187,undirected
117,188,undirected
117,189,undirected
118,118,undirected
118,60,undirected
119,190,undirected
119,191,undirected
123,192,undirected
123,193,undirected
124,194,undirected
124,66,undirected
126,126,undirected
126,66,undirected
127,70,undirected
127,195,undirected
127,196,undirected
128,70,undirected
128,197,undirected
129,198,undirected
129,71,undirected
129,199,undirected
129,200,undirected
130,201,undirected
130,202,undirected
130,203,undirected
130,204,undirected
130,205,undirected
130,206,undirected
130,207,undirected
131,6,undirected
131,208,undirected
132,209,undirected
132,210,undirected
132,211,undirected
132,212,undirected
133,74,undirected
133,213,undirected
134,214,undirected
136,215,undirected
136,216,undirected
137,217,undirected
138,218,undirected
138,219,undirected
138,220,undirected
139,221,undirected
139,222,undirected
140,223,undirected
140,224,undirected
143,225,undirected
145,226,undirected
148,149,undirected
148,227,undirected
149,98,undirected
149,228,undirected
149,13,undirected
149,229,undirected
149,230,undirected
149,0,undirected
149,231,undirected
149,232,undirected
149,233,undirected
149,234,undirected
149,235,undirected
150,236,undirected
150,237,undirected
152,238,undirected
152,98,undirected
153,239,undirected
