Id,Label,style,instrument
0,benedictquinn, lofi, guitar
1,jasmineoakleymusic, rnb, guitar
2,itsolihannaford, jazz, bass
3,tenitinks1,None,None
4,pastelmusique,None,None
5,thatdappermusician, jazz, chords
6,rubenwan, neosoul, guitar
7,xanderrascall,None, guitar
8,captured_by_zohaib,None,None
9,wilmore.music, house, piano
10,profflutebae,None, flute
11,dompalombimusic, funk, drums
12,huberjonathan, jazz, synth
13,vadesings, rnb,None
14,alesssos, jazz, tuba
15,ralphb0ne, jazz, chords
16,raquel.themartins, jazz, guitar
17,theonlytylerl, jazz, drums
18,projectatlanticmusic, metal, guitar
19,andrew.hadro, jazz, saxophone
20,aaronjharrison18,None,None
21,gmurray888, gospel,None
22,jemheigis, dubstep, synth
23,theryanslatko, jazz, piano
24,nicomendozamusic, jazz, bass
25,danaegreenfield, jazz, piano
26,julia.lange.guitar,None, guitar
27,nickymoon_custom_cymbals,None, drums
28,johnmarknelson, lofi, bass
29,connorterrones, jazz, synth
30,_miri_music, groove, chords
31,swinglesingers, jazz, drums
32,e_reacts, jazz, guitar
33,saucyvocals, rnb,None
34,midenaike,None,None
35,natalie_lindi,None,None
36,kirstenoboe, jazz,None
37,konaemannys,None, tuba
38,jessegtrumpet, jazz,None
39,samthehorn,None, guitar
40,luca.wetherall,None, piano
41,aimeenolte, jazz, piano
42,thebrocktrumpet, classical,None
43,rob_o_code,None, tuba
44,joedifioremusic, jazz, saxophone
45,jazzmandan, jazz, saxophone
46,nomoreicloudstorage,None,None
47,mayorseb, groove, bass
48,micka.the_cat,None,None
49,greenlaine, metal,None
